Product Name,Brand Name,Price (Ksh),Discount (%),Total Reviews,Popularity
Smartwatch Business Bluetooth Waterproof Sport,product,KSh 587,45%,0,Low
"Infinix HOT 40i,5000mah,(4GB RAM+4GB RAM)128GB ROM,50MP,TYPE-C,+BUDS WATCH",product,"KSh 13,599",32%,0,Low
Qwen Bluetooth Earbuds Wireless Earphone Gaming Headsets Sports Headphones,product,KSh 550,45%,0,Low
ColorScreen  SmartWatch Heart Rate Sport Bracelet,product,KSh 555,40%,0,Low
"AILYONS ECS2403 2.1CH SubWoofer Home Theatrer Multi Media Speaker System, 1YR WRTY",product,"KSh 2,519",32%,0,Low
ColorScreen  SmartWatch Heart Rate Sport Bracelet,product,KSh 537,45%,0,Low
Color Screen Smart Watch Heart Rate Sport Bracelet,product,KSh 545,45%,0,Low
"Huawei Y7 Pro 4G LTE Mobile Phone 4GB + 128GB Dual Camera 6.26"" 4000mah",product,"KSh 8,999",47%,0,Low
Vitron VB-Y44 - 2in1 Blender - 1.5L - 350W - White & Yellow (1YR WRTY),product,"KSh 1,740",42%,0,Low
Fashion Men's Trendy Sneakers - White,product,"KSh 1,490",49%,0,Low
"AILYONS GS014-1, 2 Burner Glass Top & Infrared Double Burner (1YR WRTY)",product,"KSh 2,699",18%,0,Low
Fashion 4pcs Ladies Handbags Women Shoulder Tote Bags Set PU Leather-Black,product,KSh 890,37%,0,Low
Fashion 4 In 1 Ladies Handbags Women Shoulder Bags Set PU Leather -Pink,product,KSh 890,41%,0,Low
Istanbul 2 Modern TV Stand With LED Lights,product,"KSh 7,999",43%,0,Low
Fashion Men Shoes Sneakers Skateboarding Shoes Sport Shoes Running Sneakers Casual Shoes,product,"KSh 1,099",43%,0,Low
"Nexus NX IR-DST Electric Dry, Steam Iron Box, 1300W, Green 3YRs WRTY",product,KSh 899,29%,0,Low
Annov 7-Speed Portable Hand Mixer  With Bowl,product,KSh 899,31%,0,Low
Ramtons RF/334 - Single Door Refrigerator - 85Liters Dark Silver,product,"KSh 19,999",20%,0,Low
Nice One 6PCS 370ML High Quality Porcelain Tea Milk Coffee Ceramic Cups,product,KSh 599,33%,0,Low
5 In 1Resistance Bands Fitness Exercise Bands Elastic Set,product,KSh 606,43%,0,Low
Wireless Mouse Rechargeable Silent 2.4G Black,product,KSh 425,29%,0,Low
Qwen Bluetooth Earbuds Wireless Earphone Gaming Headsets Sports Headphones,product,KSh 550,45%,0,Low
"Microphone With V8 Sound Card BM800 Kit, Condenser Support",product,"KSh 3,580",25%,0,Low
Rechargeable Voice Wrist Blood Pressure Monitors Digital Automatic Heart Rate,product,KSh 880,45%,0,Low
Wireless Mouse 2.4G S1000 Plus-bright Black,product,KSh 329,37%,0,Low
Air Pro3  Wireless Headsets TouCh HIFI Earphone.,product,KSh 590,41%,0,Low
Fashion Shoulder Leisure Computer Schoolbag,product,"KSh 1,149",43%,0,Low
Rashnik Electric Water Dispenser Pump,product,KSh 429,product,0,Low
Fashion Adjustable Back Shoulder Posture Corrector Spine Correction Back Braces Belt,product,KSh 774,45%,0,Low
Qwen Wireless Mouse Rechargeable Slient Mouse 2.4GHz,product,KSh 529,34%,0,Low
Ramtons RF/334 - Single Door Refrigerator - 85Liters Dark Silver,product,"KSh 19,999",20%,0,Low
Starlink Standard Actuated Kit,product,"KSh 39,500",61%,0,Low
Hikers 32'' Digital Frameless HD LED TV-Black,product,"KSh 10,969",31%,0,Low
"XIAOMI Redmi 13C, 6.71""(4GB RAM+128GB Storage)5000mAh Dual Sim-Black",product,"KSh 14,099",1%,0,Low
"Vitron HTC4388FS - 43"" Smart  Android Frameless TV - Black",product,"KSh 19,895",30%,0,Low
"Samsung Galaxy A05, 6.7"", 64GB + 4GB RAM (Dual SIM), 5000mAh, Silver (2YRs WRTY)",product,"KSh 12,458",11%,0,Low
"Roch RFR-160DT-B Double Door Fridge, 126L – Silver (1YR WRTY)",product,"KSh 33,999",8%,0,Low
NIVEA UV Face Shine Control Cream SPF 50 - 50ml,product,"KSh 1,040",20%,0,Low
Garnier Even & Matte Vitamin  C Booster Serum 30ml.,product,"KSh 1,279",27%,0,Low
Tisa Nyota Ladies Handbags PU Leather Bucket Bags Women Tote Bags 3 In 1,product,"KSh 1,350",33%,0,Low
Hikers 43'' Inch Frameless Android Smart FHD LED TV - Black,product,"KSh 20,599",22%,0,Low
VON Von 5534 4 Gas Cooker + Gas Oven 55x55 - Brown (1YR WRTY),product,"KSh 20,695",33%,0,Low
"Geo Geobook 120, Intel Celeron, 4GB RAM 64GB EMMC, 12.5 Inch Display, Windows 10 - Black, 6 Months WRTY",product,"KSh 14,999",50%,0,Low
Ace Elec M10 Wireless  Bluetooth 5.1 Earphones Dual LED Display,product,KSh 516,45%,0,Low
Hikers Microwave Oven –KE-MOS20LG-Digital 20 Litres – Silver 20L 700W,product,"KSh 7,399",41%,0,Low
"XIAOMI Redmi 13C, 6.71""(4GB RAM+128GB Storage)5000mAh Dual Sim-Black",product,"KSh 14,099",1%,0,Low
"Nokia C31, 6.75"",13MP,64GB + 4GB RAM (Dual SIM), 5050MAh, (Dual Sim),Charcoal Grey, 1YR WRTY",product,"KSh 15,519",22%,0,Low
